,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,VisitFrequency,Gender,Age,cluster
276,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Once a year,Male,47,0
277,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-4,Every three months,Male,20,0
278,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a week,Male,26,1
279,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Once a year,Female,65,0
280,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-5,Never,Male,64,0
281,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5,Once a week,Male,20,1
282,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,2,Once a month,Female,29,1
283,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Once a month,Female,45,1
284,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a year,Female,31,1
285,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Female,41,1
286,No,No,No,Yes,No,Yes,No,No,Yes,No,No,-5,Never,Female,61,0
287,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,Female,69,0
288,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,1,Once a month,Male,28,1
289,No,Yes,No,No,No,Yes,No,No,No,No,No,3,Once a month,Male,68,1
290,No,No,No,Yes,No,Yes,Yes,No,No,No,No,-4,Never,Male,60,0
291,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,0,Once a year,Female,56,1
292,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,Once a year,Female,61,1
293,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,Once a week,Male,61,1
294,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Once a year,Male,63,0
295,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,Female,40,1
296,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,Every three months,Male,36,0
297,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,1,Once a month,Female,30,1
298,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a month,Female,32,1
299,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,5,More than once a week,Male,37,1
300,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,3,Once a week,Male,61,1
301,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,Female,34,1
302,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a month,Male,24,1
303,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,1,Once a month,Male,39,1
304,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Every three months,Male,50,1
305,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,1,Once a month,Male,46,1
306,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,2,Once a month,Female,43,1
307,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Male,36,1
308,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,-5,Once a week,Male,26,0
309,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,Female,32,1
310,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Never,Female,50,0
311,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,Once a year,Female,56,0
312,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Every three months,Female,57,1
313,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,Once a year,Male,25,0
314,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,Once a month,Female,47,0
315,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Once a year,Male,32,1
316,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,Female,32,1
317,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,Every three months,Female,57,1
318,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Male,42,1
319,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Once a week,Male,31,1
320,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,Once a year,Female,37,0
321,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,3,Every three months,Female,33,1
322,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,-1,Every three months,Female,46,0
323,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Every three months,Female,41,1
324,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,-1,Every three months,Male,60,0
325,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,Male,42,1
326,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a month,Female,45,1
327,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,Every three months,Male,36,1
328,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,2,Once a month,Male,44,1
329,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,1,Once a month,Male,34,1
330,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,Male,22,1
331,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Every three months,Male,64,0
332,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,Male,36,1
333,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a month,Male,23,1
334,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-4,Every three months,Female,69,0
335,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-5,Never,Female,64,0
336,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Every three months,Male,53,1
337,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,-4,Never,Female,40,0
338,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,Every three months,Female,56,0
339,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,2,Once a week,Female,48,1
340,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,Female,62,1
341,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,Every three months,Female,65,1
342,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,4,Once a month,Male,34,1
343,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,-5,Never,Female,27,0
344,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Every three months,Male,25,1
345,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-1,Once a year,Female,55,0
346,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a week,Female,38,1
347,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,1,Once a month,Female,52,1
348,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,3,Once a month,Male,36,1
349,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,Once a month,Male,36,0
350,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Once a month,Female,52,1
351,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,5,Once a week,Female,49,1
352,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,2,Once a month,Female,58,1
353,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,Female,67,1
354,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1,Every three months,Female,56,1
355,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,2,Once a week,Female,43,1
356,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a week,Female,43,1
357,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,Every three months,Female,23,1
358,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,Once a week,Male,29,1
359,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,Once a year,Male,32,0
360,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,1,Once a week,Female,35,1
361,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,2,Once a week,Male,46,1
362,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,Female,55,1
363,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,Female,45,1
364,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,2,Every three months,Male,39,1
365,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-3,Once a year,Male,52,0
366,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a month,Female,53,1
367,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,3,Once a month,Male,44,1
368,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a year,Female,55,1
369,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,Female,21,1
370,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,1,Once a month,Male,48,1
371,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,3,Once a month,Female,57,1
372,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a week,Male,26,1
373,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,2,Once a month,Female,52,1
374,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,4,Once a week,Male,28,1
375,No,Yes,No,No,No,Yes,No,Yes,No,No,No,2,Once a month,Male,58,1
376,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,5,Once a month,Male,34,1
377,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Every three months,Male,39,0
378,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,Male,20,1
379,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,0,Once a year,Female,61,1
380,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,4,Once a week,Male,35,1
381,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,Male,27,0
382,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,Female,50,1
383,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,Female,58,1
384,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,Once a month,Female,29,0
385,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a week,Male,23,1
386,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,2,Every three months,Male,47,1
387,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,Female,58,1
388,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,Once a month,Female,49,1
389,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,1,Once a month,Female,27,1
390,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,More than once a week,Female,20,1
391,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,0,Every three months,Male,43,1
392,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,0,Every three months,Female,62,1
393,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,-5,Once a year,Female,55,0
394,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,Once a year,Female,62,0
395,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,Once a year,Female,56,0
396,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,Never,Male,60,0
397,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a month,Female,42,1
398,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a week,Female,26,1
399,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,Once a year,Female,55,0
400,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,4,Once a week,Male,42,1
401,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a year,Female,67,1
402,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a week,Male,43,1
403,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,Once a month,Female,42,1
404,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,Female,50,1
405,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Once a year,Female,20,0
406,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-5,Never,Male,50,0
407,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a year,Male,60,1
408,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,Never,Male,21,0
409,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a month,Male,33,1
410,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Every three months,Female,68,1
411,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,Male,26,1
412,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a month,Female,60,1
413,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Every three months,Female,52,1
414,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,4,Every three months,Female,70,1
415,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-5,Once a year,Female,44,0
416,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Every three months,Female,23,1
417,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,-1,Every three months,Female,62,0
418,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a week,Female,59,1
419,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,Female,66,1
420,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,1,Once a month,Male,44,1
421,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,Male,25,1
422,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,3,Once a month,Male,41,1
423,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,4,More than once a week,Male,41,1
424,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,Male,33,1
425,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,1,Once a month,Female,45,1
426,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,Female,23,1
427,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a year,Female,52,0
428,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Once a month,Female,63,1
429,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Once a month,Female,48,1
430,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-5,Never,Male,52,0
431,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-5,Never,Male,50,0
432,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2,Once a month,Male,28,1
433,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,Once a month,Male,24,1
434,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,Once a week,Female,45,1
435,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,2,Every three months,Female,26,1
436,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,1,Every three months,Male,19,1
437,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Every three months,Male,45,1
438,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,1,Every three months,Male,44,1
439,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,2,Once a month,Male,47,1
440,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,Male,28,1
441,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Every three months,Female,62,1
442,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,-1,Once a week,Male,33,0
443,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,3,Every three months,Female,67,1
444,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,1,Once a year,Female,67,1
445,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2,Once a month,Male,49,1
446,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a week,Female,33,1
447,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,Female,51,1
448,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,Female,52,1
449,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5,More than once a week,Male,30,1
450,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Once a month,Female,60,1
451,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,Every three months,Female,47,0
452,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,2,Once a month,Male,44,1
453,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Every three months,Female,43,1
454,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,Once a month,Male,46,0
455,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,1,Once a month,Female,40,1
456,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,Once a year,Female,48,1
457,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,Once a month,Female,53,1
458,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Every three months,Male,35,1
459,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,Every three months,Male,51,0
460,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,2,Once a month,Male,26,1
461,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-2,Every three months,Female,46,0
462,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Female,39,1
463,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a year,Male,38,1
464,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Female,40,1
465,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a month,Female,36,1
466,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Never,Female,56,1
467,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a month,Female,23,1
468,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a month,Female,39,1
469,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,Every three months,Female,22,0
470,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,3,Once a month,Male,27,1
471,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,Every three months,Female,23,1
472,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,Female,21,1
473,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Every three months,Male,33,1
474,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Female,24,0
475,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5,More than once a week,Female,22,1
476,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Every three months,Female,54,0
477,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,Every three months,Female,56,0
478,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a month,Male,20,1
479,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,4,Once a month,Female,41,1
480,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,4,Once a month,Male,70,1
481,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,Once a month,Female,54,1
482,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3,Once a month,Male,23,1
483,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,Female,61,1
484,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,1,Once a week,Female,52,1
485,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,Female,61,1
486,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,-2,Every three months,Female,66,0
487,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a month,Female,40,1
488,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Never,Male,26,1
489,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,2,Once a month,Male,32,1
490,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,Every three months,Male,60,0
491,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,Male,38,1
492,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Every three months,Male,29,1
493,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,-5,Never,Male,69,0
494,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a year,Male,64,1
495,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,-5,Never,Male,40,0
496,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a month,Male,42,1
497,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-5,Once a month,Female,64,0
498,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,5,Once a week,Male,22,1
499,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,Female,57,1
500,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Every three months,Female,28,1
501,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,Female,41,1
502,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,More than once a week,Male,56,1
503,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,Female,50,1
504,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-5,Never,Male,68,0
505,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,-5,Once a year,Male,62,0
506,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Every three months,Female,58,1
507,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,Male,47,1
508,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,3,Once a month,Female,35,1
509,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Male,58,1
510,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Female,21,1
511,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,Female,53,1
512,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,Female,38,1
513,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,5,Once a month,Male,59,1
514,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,4,Once a week,Female,39,1
515,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,2,Every three months,Female,36,1
516,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,More than once a week,Female,26,1
517,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-1,Once a week,Male,53,0
518,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,Female,64,1
519,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,-3,Every three months,Female,56,0
520,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-5,Never,Male,65,0
521,No,No,No,No,Yes,No,No,No,No,No,Yes,-5,Never,Male,40,0
522,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,Male,68,1
523,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,More than once a week,Male,65,1
524,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Female,52,1
525,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,Once a year,Female,37,0
526,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-5,Once a year,Male,32,0
527,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a week,Female,51,1
528,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,Every three months,Female,52,1
529,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,4,Every three months,Female,57,1
530,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Every three months,Female,55,1
531,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Once a month,Female,38,1
532,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a week,Female,44,1
533,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a year,Female,56,1
534,No,Yes,No,Yes,Yes,No,No,No,No,No,No,1,Once a year,Female,67,1
535,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,3,Once a month,Female,43,1
536,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Every three months,Male,39,1
537,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a week,Female,27,1
538,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,1,Once a year,Female,29,1
539,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,-1,Once a year,Male,24,0
540,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Every three months,Male,37,0
541,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,Once a month,Female,22,1
542,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,-2,Never,Female,55,0
543,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,Once a year,Male,50,0
544,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,1,Once a month,Male,26,1
545,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Every three months,Female,55,1
546,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a month,Female,48,1
547,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a week,Female,25,1
548,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4,More than once a week,Male,32,1
549,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,1,Every three months,Female,28,1
550,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,Once a year,Female,52,0
551,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,1,Once a week,Male,30,1
552,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-2,Once a year,Female,52,0
553,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,4,Once a month,Female,55,1
